Source,Target,Weight
14,326,0.408248290463863
14,327,0.5443310539518174
14,329,0.5
14,369,0.5
14,386,0.5
14,388,0.5962847939999438
14,405,0.4714045207910316
14,442,0.48112522432468824
14,484,0.40201512610368484
14,495,0.6299407883487119
14,585,0.3849001794597505
14,605,0.3849001794597505
14,703,0.40201512610368484
14,704,0.4216370213557839
14,749,0.3779644730092272
14,768,0.5345224838248488
14,836,0.3849001794597505
14,911,0.408248290463863
14,913,0.4576043153224294
14,930,0.5962847939999438
14,932,0.6299407883487119
16,75,0.5773502691896258
16,663,0.408248290463863
16,710,0.408248290463863
17,27,0.5669467095138407
17,92,0.4082482904638631
17,99,0.43301270189221935
17,100,0.5669467095138407
17,343,0.6123724356957946
17,347,0.5
17,352,0.3779644730092272
17,358,0.4082482904638631
17,360,0.42874646285627205
17,398,0.5773502691896258
17,427,0.5
17,471,0.4082482904638631
17,490,0.5
17,510,0.6708203932499369
17,552,0.75
17,561,0.3779644730092272
17,585,0.5773502691896258
17,599,0.5
17,600,0.5669467095138407
17,615,0.3779644730092272
17,660,0.5
17,678,0.8660254037844388
17,722,0.5
17,757,0.4472135954999579
17,826,0.4082482904638631
17,892,0.4082482904638631
19,76,0.38729833462074176
19,613,0.545544725589981
19,615,0.4364357804719848
19,661,0.4351941398892447
19,738,0.566946709513841
19,783,0.4330127018922194
19,915,0.4330127018922194
20,35,0.6289709020331509
20,36,0.5039526306789696
20,41,0.5976143046671968
20,46,0.6546536707079772
20,50,0.5345224838248487
20,51,0.7171371656006361
20,52,0.7559289460184544
20,54,0.5640760748177661
20,55,0.3779644730092272
20,56,0.6060915267313264
20,60,0.5039526306789696
20,64,0.4780914437337574
20,68,0.6546536707079772
20,69,0.4364357804719848
20,71,0.5039526306789696
20,73,0.44543540318737396
20,75,0.3779644730092272
20,81,0.5039526306789696
20,101,0.6172133998483676
20,349,0.4364357804719848
20,359,0.5345224838248487
20,360,0.38892223413129856
20,361,0.46291004988627577
20,412,0.4193139346887673
20,671,0.4583492485141056
20,712,0.3779644730092272
20,726,0.6761234037828131
20,739,0.4008918628686365
20,754,0.6172133998483676
20,766,0.4008918628686365
20,781,0.545544725589981
20,792,0.6172133998483676
20,840,0.5345224838248487
20,912,0.4285714285714285
20,915,0.3779644730092272
20,917,0.45584230583855173
20,931,0.3779644730092272
22,388,0.3721042037676254
22,405,0.39223227027636803
22,930,0.3721042037676254
22,931,0.5547001962252291
23,9,0.39999999999999997
23,35,0.3721042037676254
23,36,0.44721359549995787
23,52,0.4472135954999579
23,57,0.4472135954999579
23,60,0.44721359549995787
23,67,0.40451991747794525
23,69,0.5163977794943223
23,76,0.39999999999999997
23,726,0.39999999999999997
23,781,0.38729833462074176
23,915,0.4472135954999579
25,5,0.3779644730092272
25,34,1.0
25,93,0.4472135954999579
25,96,0.4082482904638631
25,104,0.5
25,319,0.7071067811865475
25,321,0.7071067811865475
25,546,0.4472135954999579
25,549,0.5
25,584,0.5773502691896258
25,588,0.3779644730092272
25,601,0.5
25,695,0.3779644730092272
25,826,0.4082482904638631
25,930,0.4472135954999579
26,47,0.4082482904638631
26,87,0.4082482904638631
26,842,0.408248290463863
26,873,0.4714045207910318
26,893,0.5773502691896258
26,894,0.5773502691896258
26,918,0.408248290463863
27,17,0.5669467095138407
27,100,0.4285714285714285
27,343,0.46291004988627577
27,347,0.5669467095138407
27,398,0.6546536707079772
27,427,0.3779644730092272
27,468,0.5345224838248487
27,490,0.3779644730092272
27,510,0.5070925528371099
27,552,0.5669467095138407
27,561,0.4285714285714285
27,585,0.4364357804719848
27,599,0.3779644730092272
27,600,0.4285714285714285
27,605,0.4364357804719848
27,660,0.3779644730092272
27,678,0.6546536707079772
27,722,0.5669467095138407
27,826,0.46291004988627577
27,831,0.5669467095138407
28,107,0.47140452079103173
28,537,0.48112522432468824
28,538,0.4166666666666667
28,560,0.3849001794597506
28,605,0.40824829046386313
28,610,0.372677996249965
28,621,0.5499719409228704
28,703,0.42640143271122094
28,706,0.39223227027636814
28,745,0.44543540318737396
28,781,0.4762896722078403
29,14,0.408248290463863
29,30,0.5477225575051662
29,43,0.4082482904638631
29,62,0.38729833462074176
29,65,0.37267799624996495
29,115,0.43301270189221935
29,172,0.447213595499958
29,179,0.4082482904638631
29,181,0.4714045207910318
29,234,0.38729833462074176
29,414,0.4364357804719849
29,421,0.5773502691896258
29,423,0.4082482904638631
29,495,0.46291004988627577
29,503,0.46291004988627577
29,535,0.5477225575051662
29,536,0.4714045207910318
29,554,0.4714045207910318
29,559,0.4082482904638631
29,606,0.408248290463863
29,610,0.38729833462074176
29,619,0.4082482904638631
29,620,0.4714045207910318
29,624,0.43301270189221935
29,625,0.43301270189221935
29,691,0.4082482904638631
29,704,0.38729833462074176
29,707,0.408248290463863
29,749,0.46291004988627577
29,778,0.39605901719066977
29,791,0.38729833462074176
29,808,0.5163977794943223
29,839,0.5443310539518174
29,842,0.408248290463863
29,909,0.4900980294098034
29,910,0.6123724356957946
29,932,0.46291004988627577
